GEOID,STATEFP,COUNTYFP,fred_county_fips,NAME,NAMELSAD,region,region_type,region_type_id,table_id,state,state_code,parent_metro_region,parent_metro_region_metro_code,fred_child_id,fred_region_id,fred_state_id,ALAND,AWATER,INTPTLAT,INTPTLON,data_source,state_fips
06081,06,081,06081,San Mateo,San Mateo County,"San Mateo County, CA",county,5.0,343.0,California,CA,"San Francisco, CA",41884.0,27562.0,27521.0,27286.0,1161921071.0,757163219.0,37.4146725,-122.3715457,Complete data,06
06083,06,083,06083,Santa Barbara,Santa Barbara County,"Santa Barbara County, CA",county,5.0,344.0,California,CA,"Santa Maria, CA",42200.0,27563.0,27521.0,27286.0,7080874935.0,2729198796.0,34.5366774,-120.0383645,Complete data,06
06085,06,085,06085,Santa Clara,Santa Clara County,"Santa Clara County, CA",county,5.0,345.0,California,CA,"San Jose, CA",41940.0,27564.0,27521.0,27286.0,3343891499.0,33597067.0,37.2216142,-121.6895401,Complete data,06
06087,06,087,06087,Santa Cruz,Santa Cruz County,"Santa Cruz County, CA",county,5.0,346.0,California,CA,"Santa Cruz, CA",42100.0,27565.0,27521.0,27286.0,1152818088.0,419720203.0,37.0123466,-122.0077889,Complete data,06
06089,06,089,06089,Shasta,Shasta County,"Shasta County, CA",county,5.0,347.0,California,CA,"Redding, CA",39820.0,27566.0,27521.0,27286.0,9778891285.0,185818274.0,40.7605142,-122.0435558,Complete data,06
06091,06,091,06091,Sierra,Sierra County,"Sierra County, CA",county,5.0,348.0,California,CA,California nonmetropolitan area,,27567.0,27521.0,27286.0,2468694578.0,23299110.0,39.5769252,-120.5219926,Complete data,06
06093,06,093,06093,Siskiyou,Siskiyou County,"Siskiyou County, CA",county,5.0,349.0,California,CA,California nonmetropolitan area,,27568.0,27521.0,27286.0,16261931188.0,179151859.0,41.5879861,-122.5332868,Complete data,06
06095,06,095,06095,Solano,Solano County,"Solano County, CA",county,5.0,350.0,California,CA,"Vallejo, CA",46700.0,27569.0,27521.0,27286.0,2128287413.0,218614922.0,38.2672255,-121.939594,Complete data,06
06097,06,097,06097,Sonoma,Sonoma County,"Sonoma County, CA",county,5.0,351.0,California,CA,"Santa Rosa, CA",42220.0,27570.0,27521.0,27286.0,4080103615.0,497291856.0,38.5251824,-122.9261095,Complete data,06
06099,06,099,06099,Stanislaus,Stanislaus County,"Stanislaus County, CA",county,5.0,352.0,California,CA,"Modesto, CA",33700.0,27571.0,27521.0,27286.0,3875010967.0,46378776.0,37.5623162,-121.0028311,Complete data,06
06101,06,101,06101,Sutter,Sutter County,"Sutter County, CA",county,5.0,353.0,California,CA,"Yuba City, CA",49700.0,27572.0,27521.0,27286.0,1560975500.0,14811541.0,39.0361898,-121.7039397,Complete data,06
06103,06,103,06103,Tehama,Tehama County,"Tehama County, CA",county,5.0,354.0,California,CA,"Red Bluff, CA",39780.0,27573.0,27521.0,27286.0,7638229378.0,33767224.0,40.1261573,-122.2322737,Complete data,06
06105,06,105,06105,Trinity,Trinity County,"Trinity County, CA",county,5.0,355.0,California,CA,California nonmetropolitan area,,27574.0,27521.0,27286.0,8234265080.0,73407950.0,40.6478582,-123.114666,Complete data,06
06107,06,107,06107,Tulare,Tulare County,"Tulare County, CA",county,5.0,356.0,California,CA,"Visalia, CA",47300.0,27575.0,27521.0,27286.0,12493843650.0,37260863.0,36.2288339,-118.7810551,Complete data,06
06109,06,109,06109,Tuolumne,Tuolumne County,"Tuolumne County, CA",county,5.0,357.0,California,CA,"Sonora, CA",43760.0,27576.0,27521.0,27286.0,5752135140.0,138666931.0,38.0214344,-119.9647335,Complete data,06
06111,06,111,06111,Ventura,Ventura County,"Ventura County, CA",county,5.0,358.0,California,CA,"Oxnard, CA",37100.0,27577.0,27521.0,27286.0,4767597024.0,947364179.0,34.3587477,-119.1331453,Complete data,06
06113,06,113,06113,Yolo,Yolo County,"Yolo County, CA",county,5.0,359.0,California,CA,"Sacramento, CA",40900.0,27578.0,27521.0,27286.0,2623627933.0,22888380.0,38.6796091,-121.90275,Complete data,06
06115,06,115,06115,Yuba,Yuba County,"Yuba County, CA",county,5.0,360.0,California,CA,"Yuba City, CA",49700.0,27579.0,27521.0,27286.0,1636887863.0,31084093.0,39.27013,-121.3442587,Complete data,06
