state_code_str,state_abbrev,county_code_str,tract_str,geoid_tract_20_clean,zip_code_clean,redfin_table_id,redfin_tableid_zip,region_type,parent_metro_region,redfin_county_name,redfin_table_id_county,census_city_long,redfin_city,redfin_table_id_city,intptlat,intptlon
32,NV,3,5333,32003005333,89012,37211.0,37211.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0232850,-115.0718038
32,NV,3,5337,32003005337,89012,37211.0,37211.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0170278,-115.0726768
32,NV,3,5338,32003005338,89012,37211.0,37211.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0093961,-115.0742314
32,NV,3,5350,32003005350,89012,37211.0,37211.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0139704,-115.0884941
32,NV,3,5352,32003005352,89012,37211.0,37211.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0213119,-115.0561374
32,NV,3,5353,32003005353,89012,37211.0,37211.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0261887,-115.0380021
32,NV,3,5354,32003005354,89012,37211.0,37211.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0274431,-115.0194645
32,NV,3,5355,32003005355,89012,37211.0,37211.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+35.9935108,-115.0722043
32,NV,3,5356,32003005356,89012,37211.0,37211.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0062454,-115.0541113
32,NV,3,5365,32003005365,89012,37211.0,37211.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0100152,-115.0312543
32,NV,3,5366,32003005366,89012,37211.0,37211.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0104607,-115.0048175
32,NV,9,950100,32009950100,89013,,,,,,,,,,+37.7789658,-117.6323824
32,NV,3,2821,32003002821,89014,37213.0,37213.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0781951,-115.0822101
32,NV,3,5102,32003005102,89014,37213.0,37213.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0611204,-115.0899456
32,NV,3,5103,32003005103,89014,37213.0,37213.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0633292,-115.0768259
32,NV,3,5104,32003005104,89014,37213.0,37213.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0609871,-115.0647449
32,NV,3,5106,32003005106,89014,37213.0,37213.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0535578,-115.0752848
32,NV,3,5107,32003005107,89014,37213.0,37213.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0505580,-115.0614349
32,NV,3,5108,32003005108,89014,37213.0,37213.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0485775,-115.0510218
32,NV,3,5110,32003005110,89014,37213.0,37213.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0755261,-115.0642325
32,NV,3,5111,32003005111,89014,37213.0,37213.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0742234,-115.0516618
32,NV,3,5112,32003005112,89014,37213.0,37213.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0487198,-115.0120595
32,NV,3,5113,32003005113,89014,37213.0,37213.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0644485,-115.0411659
32,NV,3,5116,32003005116,89014,37213.0,37213.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0510630,-115.0362855
32,NV,3,5112,32003005112,89015,37214.0,37214.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0487198,-115.0120595
32,NV,3,5200,32003005200,89015,37214.0,37214.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0320100,-114.9882972
32,NV,3,5335,32003005335,89015,37214.0,37214.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0199405,-114.9853741
32,NV,3,5336,32003005336,89015,37214.0,37214.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0224432,-114.9678162
32,NV,3,5342,32003005342,89015,37214.0,37214.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0064036,-114.9698911
32,NV,3,5421,32003005421,89015,37214.0,37214.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0564791,-114.9627121
32,NV,3,5422,32003005422,89015,37214.0,37214.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0419262,-114.9704864
32,NV,3,5423,32003005423,89015,37214.0,37214.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0332495,-114.9636101
32,NV,3,5432,32003005432,89015,37214.0,37214.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0203084,-114.9493378
32,NV,3,5434,32003005434,89015,37214.0,37214.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0329472,-114.9443249
32,NV,3,5435,32003005435,89015,37214.0,37214.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0405188,-114.9085865
32,NV,3,5438,32003005438,89015,37214.0,37214.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"HENDERSON, NV","Henderson, NV",8147.0,+36.0496485,-114.9847793
32,NV,17,950200,32017950200,89017,,,,,,,,,,+37.4680496,-115.0589325
32,NV,3,5818,32003005818,89018,37217.0,37217.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"INDIAN SPRINGS, NV","Indian Springs, NV",23385.0,+36.4692085,-115.7785197
32,NV,3,5902,32003005902,89018,37217.0,37217.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"INDIAN SPRINGS, NV","Indian Springs, NV",23385.0,+36.6788752,-115.1765047
32,NV,3,5703,32003005703,89019,37218.0,37218.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"JEAN, NV",,,+35.5658951,-114.9274382
32,NV,3,5876,32003005876,89019,37218.0,37218.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"JEAN, NV",,,+35.8721842,-115.5831349
32,NV,23,960300,32023960300,89020,37219.0,37219.0,zip code,"Pahrump, NV","Nye County, NV",1875.0,"AMARGOSA VALLEY, NV","Amargosa Valley, NV",37986.0,+36.9171647,-116.7407067
32,NV,3,5613,32003005613,89021,37220.0,37220.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"LOGANDALE, NV",,,+36.3640977,-114.6058235
32,NV,3,7600,32003007600,89021,37220.0,37220.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"LOGANDALE, NV",,,+36.4213092,-114.2068706
32,NV,23,960100,32023960100,89022,37221.0,37221.0,zip code,"Pahrump, NV","Nye County, NV",1875.0,"MANHATTAN, NV",,,+38.6693907,-116.3756869
32,NV,3,5613,32003005613,89025,37224.0,37224.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"MOAPA, NV",,,+36.3640977,-114.6058235
32,NV,3,5902,32003005902,89025,37224.0,37224.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"MOAPA, NV",,,+36.6788752,-115.1765047
32,NV,3,5703,32003005703,89026,,,,,,,,,,+35.5658951,-114.9274382
32,NV,3,5607,32003005607,89027,37226.0,37226.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"MESQUITE, NV","Mesquite, NV",11737.0,+36.8027717,-114.0821575
32,NV,3,5614,32003005614,89027,37226.0,37226.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"MESQUITE, NV","Mesquite, NV",11737.0,+36.8015746,-114.0982120
32,NV,3,5615,32003005615,89027,37226.0,37226.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"MESQUITE, NV","Mesquite, NV",11737.0,+36.7906476,-114.1165693
32,NV,3,5903,32003005903,89027,37226.0,37226.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"MESQUITE, NV","Mesquite, NV",11737.0,+36.8288504,-114.0783547
32,NV,3,5904,32003005904,89027,37226.0,37226.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"MESQUITE, NV","Mesquite, NV",11737.0,+36.8095566,-114.1444944
32,NV,3,5905,32003005905,89027,37226.0,37226.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"MESQUITE, NV","Mesquite, NV",11737.0,+36.8266832,-114.0567845
32,NV,3,7600,32003007600,89027,37226.0,37226.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"MESQUITE, NV","Mesquite, NV",11737.0,+36.4213092,-114.2068706
32,NV,3,5702,32003005702,89029,37228.0,37228.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"LAUGHLIN, NV","Laughlin, NV",23823.0,+35.1433175,-114.5984925
32,NV,3,5704,32003005704,89029,37228.0,37228.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"LAUGHLIN, NV","Laughlin, NV",23823.0,+35.1363309,-114.6264412
32,NV,3,5705,32003005705,89029,37228.0,37228.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"LAUGHLIN, NV","Laughlin, NV",23823.0,+35.1485812,-114.7375884
32,NV,3,401,32003000401,89030,37229.0,37229.0,zip code,"Las Vegas, NV","Clark County, NV",1865.0,"NORTH LAS VEGAS, NV","North Las Vegas, NV",13363.0,+36.1820491,-115.1381920
